K,Accuracy_mean,Accuracy_std,F1macro_mean,F1macro_std,QWK_mean,QWK_std,Fit_time_s
5,0.39019522144522145,0.025084642027411324,0.22700237029191572,0.029756548656923835,0.0990943227706738,0.058178320307923526,3.4165401458740234
10,0.46245953120953115,0.004446264294852973,0.3114189611714898,0.0559096435177827,0.19014050765200177,0.04077459541933249,3.648099660873413
15,0.4840682465682466,0.02004168697903474,0.28731849572765195,0.05215974184383423,0.20606555255231504,0.044594158486842374,4.441097259521484
20,0.490327959077959,0.02631441655571027,0.27918296326768455,0.03812137714664879,0.19758945388911342,0.0554271956421468,2.0817995071411133
25,0.4982986920486921,0.023922505110157755,0.2760659826455907,0.02762470235308721,0.204214944265322,0.04293880503639506,2.3793320655822754
30,0.4920438357938358,0.016185050641035165,0.2769420702236201,0.05427919138870406,0.20087189270695766,0.06797510645482915,2.4333016872406006
40,0.5068359880859881,0.015302835358450327,0.3061114616664602,0.04840245325628832,0.2193346818146547,0.0701271996304424,3.0211403369903564
50,0.5165031727531727,0.023892062114014186,0.2903262356566498,0.048080183631630975,0.21649674466975055,0.07042650131353966,3.568483352661133
60,0.5102434602434603,0.014136524243620942,0.2709415378515994,0.03948354880665824,0.19990116969121635,0.03334829931332902,4.135109186172485
75,0.5284511784511785,0.013743507639532708,0.29416219816654543,0.03422972306869112,0.2527497395735523,0.04501544350643733,5.063609600067139
100,0.5221898471898472,0.009889272270065483,0.2762791350776709,0.02818660660874118,0.24761448813702164,0.03825459254563989,6.789036989212036
125,0.519348938098938,0.016002104097778323,0.2742931559237782,0.031218177071530035,0.2325834247521276,0.03454412305219094,8.675582647323608
150,0.5307319994819995,0.015946758387308285,0.26715431541586954,0.008878669752435285,0.26408195803231116,0.051557343999986543,10.97581434249878
200,0.5250404687904687,0.025250909769748923,0.26845261234822654,0.03183477829148909,0.2594817577354804,0.06443753376653409,15.220494031906128
