Feature,Importance,Label
v82001__1,0.13505068,Food insecurity experience:… was there a
v82001__3,0.080091156,Food insecurity experience:… was there a
v32031__2,0.06299987,In which way have these changes affected
v31412,0.06034647,Aspiration of asset level
v31315,0.04170119,How much does your household income fluc
v31410,0.03186733,Aspiration of annual income level
v31328,0.028148841,The respondent's willingness to wait
v91008__3,0.022247538,The 3 most important reasons for why ric
v51002,0.021849718,How many members of your household have 
v31418a,0.021132637,Importance of annual income level
v31325,0.020328015,The invested amount from riskgame (THB/1
v81045a,0.020260647,Average expenditure on health for the wh
v42042f,0.019857164,Labor: Family labor (Person hour) for ap
v31102__1,0.01900039,Type of event:Illness of household membe
v91012,0.018036585,The disparities in standard of living in
v31416,0.016751317,Aspiration of education level
v42018,0.01669079,Variable machine cost for land preparati
v92030,0.015379646,What type of internet sources that your 
v72202,0.014920582,How many insurances does the HH have?
v42027,0.014831678,Expenditures: machinery cost for harvest
v91009a__2,0.014430464,The 3 most important reasons for why poo
v81039a,0.013914067,Average expenditure on education for the
v42029b,0.013079746,Expenditures on fuel or energy use for i
v42036,0.0130660515,Other expenditures (including processing
v81030a,0.013048471,Average monthly expenditure on transport
v31417,0.012288433,Aspiration of education level (wish to a
v31324,0.012045404,The respondent's willingness to take ris
v31415,0.01158798,Aspiration of social status level (wish 
v31414,0.011540421,Aspiration of social status level
v31411,0.011434216,Aspiration of annual income level (wish 
v31413,0.010774267,Aspiration of asset level (wish to achie
v42023,0.010669965,Expenditures: mineral fertilizer (THB/10
v42020,0.010329181,Costs for seeds and seedlings (THB/1000 
v92030b,0.010292398,"On average, how many hours does the HH h"
v31418c,0.010210296,Importance of social status level
v94002c,0.0101879025,What a person achieves in life is above 
v42040a,0.009985079,Amount of fertilizer used: mineral ferti
v92004,0.009936927,For how many years has this household be
v92030a,0.009907408,Since when that your HH has access to th
v94003,0.009884335,Would you describe yourself as an impati
v42025a,0.009747783,Expenditures: herbicides (THB/1000 VND)
v42039f,0.009647554,Family labor (Person hour) for hand weed
v42043f,0.009547086,Labor: Family labor (Person hour) for ha
v31418d,0.009246712,Importance of education level
v42025b,0.009194006,Expenditures: insecticides &amp; snail k
v81015a,0.009121096,Average monthly expenditure on food for 
v42037f,0.008446644,Family labor (Person hour)  for land pre
v31418b,0.008401108,Importance of asset level
v42041f,0.008304151,Family labor (Person hour) for fertilizi
v42038f,0.0082386965,Family labor (Person hor) for planting
